gene_id	utrname1	gene_symbol	gs_id
150483	NM_001286559	TEKT4	3646
150483	NM_144705	TEKT4	3646
150572	NM_198274	SMYD1	3364
150590	NM_001317992	C2orf15	13396
150590	NM_144706	C2orf15	13396
150684	NM_001321781	COMMD1	14559
150684	NM_001321782	COMMD1	14559
150684	NM_152516	COMMD1	14559
150696	NM_001321070	PROM2	13317
150696	NM_001165977	PROM2	13317
150696	NM_144707	PROM2	13317
150696	NM_001165978	PROM2	13317
150726	NM_001080410	FBXO41	11783
150737	NM_152517	TTC30B	11281
150771	NM_178495	ITPRIPL1	13210
150771	NM_001163523	ITPRIPL1	13210
150771	NM_001163524	ITPRIPL1	13210
150771	NM_001008949	ITPRIPL1	13210
150786	NM_001077637	RAB6D	1870
150864	NM_173511	FAM117B	1103
150921	NM_175769	TCF23	13351
150946	NM_001168241	GAREM2	7872
150946	NM_001191033	GAREM2	7872
150962	NM_001322124	PUS10	3986
150962	NM_144709	PUS10	3986
150962	NM_001322127	PUS10	3986
150962	NM_001322123	PUS10	3986
151011	NM_001321499	SEPT10	1483
151011	NM_001321511	SEPT10	1483
151011	NM_001321515	SEPT10	1483
151011	NM_001321503	SEPT10	1483
151011	NM_001321509	SEPT10	1483
151011	NM_001321513	SEPT10	1483
151011	NM_001321507	SEPT10	1483
151011	NM_001321500	SEPT10	1483
151011	NM_001321512	SEPT10	1483
151011	NM_001321504	SEPT10	1483
151011	NM_001321498	SEPT10	1483
151011	NM_001321502	SEPT10	1483
151011	NM_001321506	SEPT10	1483
151011	NM_178584	SEPT10	1483
151011	NM_001321508	SEPT10	1483
151011	NM_001321496	SEPT10	1483
151011	NM_001321514	SEPT10	1483
151011	NM_001321505	SEPT10	1483
151011	NM_001321510	SEPT10	1483
151011	NM_001321501	SEPT10	1483
151011	NM_144710	SEPT10	1483
151050	NM_152519	KANSL1L	13232
151050	NM_001307976	KANSL1L	13232
151126	NR_104234	ZNF385B	7399
151126	NM_152520	ZNF385B	7399
151126	NM_001113397	ZNF385B	7399
151126	NM_001282725	ZNF385B	7399
151126	NM_001113398	ZNF385B	7399
151176	NM_001291832	ERFE	2415
151188	NM_152522	ARL6IP6	5965
151194	NM_001127395	METTL21A	11222
151194	NM_001308021	METTL21A	11222
151194	NM_145280	METTL21A	11222
151195	NM_152523	CCNYL1	11528
151195	NM_001142300	CCNYL1	11528
151230	NM_144711	KLHL23	6139
151242	NM_001261425	PPP1R1C	5823
151242	NM_001080545	PPP1R1C	5823
151242	NM_001261424	PPP1R1C	5823
151246	NM_001160046	SGO2	5040
151246	NM_001160033	SGO2	5040
151246	NM_152524	SGO2	5040
151278	NM_153038	CCDC140	13481
151295	NM_144712	SLC23A3	13758
151295	NM_001144890	SLC23A3	13758
151295	NM_001144889	SLC23A3	13758
151306	NM_001321950	GPBAR1	3384
151306	NM_001077194	GPBAR1	3384
151306	NM_170699	GPBAR1	3384
151306	NM_001077191	GPBAR1	3384
151313	NM_199336	FAHD2B	8814
151313	NM_001320849	FAHD2B	8814
151313	NM_001320848	FAHD2B	8814
151354	NM_001291410	FAM84A	13147
151354	NM_145175	FAM84A	13147
151449	NM_182828	GDF7	11502
151473	NM_152527	SLC16A14	4960
151516	NM_152792	ASPRV1	1496
151531	NM_173355	UPP2	11869
151531	NM_001135098	UPP2	11869
151556	NM_001033045	GPR155	13216
151556	NM_001267050	GPR155	13216
151556	NM_152529	GPR155	13216
151556	NM_001267051	GPR155	13216
151613	NM_133462	TTC14	12884
151613	NM_001288582	TTC14	12884
151613	NM_001042601	TTC14	12884
151636	NM_138287	DTX3L	9192
151648	NM_001199255	SGO1	2375
151648	NM_001012410	SGO1	2375
151648	NM_001012412	SGO1	2375
151648	NM_001199257	SGO1	2375
151648	NM_001012409	SGO1	2375
151648	NM_001199251	SGO1	2375
151648	NR_131180	SGO1	2375
151648	NM_138484	SGO1	2375
151648	NR_131179	SGO1	2375
151648	NM_001012413	SGO1	2375
151648	NM_001199256	SGO1	2375
151648	NM_001012411	SGO1	2375
151648	NM_001199252	SGO1	2375
151648	NM_001199253	SGO1	2375
151648	NM_001199254	SGO1	2375
151651	NM_144715	EFHB	14352
151742	NM_001317911	PPM1L	3449
151742	NM_139245	PPM1L	3449
151742	NM_001317912	PPM1L	3449
151827	NM_153353	LRRC34	10265
151827	NM_001172780	LRRC34	10265
151827	NM_001172779	LRRC34	10265
151887	NM_199511	CCDC80	12447
151887	NM_199512	CCDC80	12447
151888	NM_001085357	BTLA	3664
151888	NM_181780	BTLA	3664
151903	NR_102269	CCDC12	11013
151903	NM_001277074	CCDC12	11013
151903	NM_144716	CCDC12	11013
151963	NM_178496	MB21D2	5325
151987	NM_001318025	PPP4R2	5911
151987	NM_001318028	PPP4R2	5911
151987	NM_001318026	PPP4R2	5911
151987	NM_001318027	PPP4R2	5911
151987	NM_174907	PPP4R2	5911
152002	NM_152531	XXYLT1	14729
152002	NM_001308069	XXYLT1	14729
152006	NM_194332	RNF38	4556
152006	NM_194328	RNF38	4556
152006	NM_194329	RNF38	4556
152006	NM_022781	RNF38	4556
152006	NM_194330	RNF38	4556
152007	NM_001287012	GLIPR2	5463
152007	NM_001287011	GLIPR2	5463
152007	NM_001287014	GLIPR2	5463
152007	NM_001287010	GLIPR2	5463
152007	NM_022343	GLIPR2	5463
152007	NM_001287013	GLIPR2	5463
152015	NM_001012337	ROPN1B	14682
152015	NM_001308313	ROPN1B	14682
152098	NM_001040432	ZCWPW2	4043
152098	NM_001324170	ZCWPW2	4043
152098	NM_001324169	ZCWPW2	4043
152100	NM_182523	CMC1	9489
152137	NM_174908	CCDC50	13161
152137	NM_178335	CCDC50	13161
152185	NM_144718	SPICE1	8391
152189	NM_001320308	CMTM8	9946
152189	NM_178868	CMTM8	9946
152330	NM_001206956	CNTN4	13248
152330	NM_175613	CNTN4	13248
152330	NM_175607	CNTN4	13248
152330	NM_001206955	CNTN4	13248
152404	NM_001015887	IGSF11	13863
152404	NM_152538	IGSF11	13863
152405	NM_152539	C3orf30	4544
152485	NM_178835	ZNF827	4562
152485	NM_001306215	ZNF827	4562
152503	NM_001128923	SH3D19	5152
152503	NM_001128924	SH3D19	5152
152503	NM_001009555	SH3D19	5152
152503	NM_001243349	SH3D19	5152
