gene_id	utrname1	gene_symbol	gs_id
163702	NM_170743	IFNLR1	7417
163732	NM_133467	CITED4	12942
163782	NM_001320269	KANK4	13468
163782	NM_181712	KANK4	13468
163786	NM_194292	SASS6	7939
163786	NM_001304829	SASS6	7939
163859	NM_152608	SDE2	10458
163882	NM_152609	CNST	12239
163882	NM_001139459	CNST	12239
163933	NM_207334	FAM43B	10929
164045	NM_001017975	HFM1	3325
164091	NM_178422	PAQR7	13069
164284	NM_153360	APCDD1L	4061
164284	NM_001304787	APCDD1L	4061
164284	NR_130908	APCDD1L	4061
164395	NM_001008409	TTLL9	12782
164633	NM_182527	CABP7	6654
164656	NM_001289001	TMPRSS6	8967
164656	NM_153609	TMPRSS6	8967
164656	NM_001289000	TMPRSS6	8967
164684	NM_152613	WBP2NL	4293
164832	NM_198461	LONRF2	3193
165186	NM_199280	TOGARAM2	3394
165186	NM_001321538	TOGARAM2	3394
165186	NM_001321539	TOGARAM2	3394
